video_id,index,no_list,time,categories,part
1006,0,"[1, 2, 3, 4, 5, 6, 7, 8]","['00:00:07,958', '00:00:39,210']",[],"this is the briefing, i'm sally bundock. our top story: thousands of iranians spend a second night without shelter after sunday's devastating earthquake. the search for survivors continues. anti-trump protestors clash with police in the philippine capital, manila, on the last day of the us president's tour of asia. and the largest diamond ever put up for auction. it could be yours forjust $30 million. the art of the deal."
1006,1,"[9, 10, 11, 12, 13, 14, 15, 16]","['00:00:39,210', '00:01:29,290']","[['/News', 0.7599999904632568], ['/Business & Industrial', 0.550000011920929]]","trump's team says the us has struck $300 billion worth of trade and investment deals during his asian trip. we investigate. in business briefing, i will be talking to an international business guru to find out the real benefit to business from trump's trip. a warm welcome to the programme, briefing you on all you need to know in global news, business, and sport. and it is a debate about the king of sports that is raging on social media, after italy failed to qualify"
1006,2,"[17, 18, 19, 20, 21, 22, 23, 24]","['00:01:29,290', '00:02:11,030']","[['/Sports/Team Sports/Soccer', 0.7900000214576721]]","for the world cup for the first time in 60 years. la gazzetta dello sport is asking, what should italian football fans do now in june 2018? send in your ideas. just use the hashtag #bbcthebriefing. thousands of survivors of a powerful earthquake that struck the mountainous border region between iran and iraq have spent a second night without shelter. the country is observing a day of national mourning for the more than 400 people who were killed"
1006,3,"[25, 26, 27, 28, 29, 30, 31, 32, 33]","['00:02:11,030', '00:02:57,229']","[['/Sensitive Subjects', 0.9599999785423279]]","when the 7.3-magnitude quake struck near the iran-iraq border, just under 30km south of the city of halabja. sarah corker reports. this is the deadliest earthquake in the world this year. the border town here in western iran bore the brunt of it. homes were flattened in seconds, crushing everyone inside. the search for survivors has been frantic, early this morning, iranian officials called off the rescue operation. at this local hospital, many of the injured had stories of narrow escapes."
1006,4,"[34, 35, 36, 37, 38, 39, 40, 41, 42]","['00:02:57,229', '00:03:30,620']","[['/Sensitive Subjects', 0.9300000071525574]]","translation: i fell from the balcony down. the earthquake was very strong. translation: the earthquake shattered the window, which fell on me, and it wounded my hand and my face. this mountainous area is prone to earthquakes. power cuts and landslides have made it difficult for rescue teams to get in. the most severely hurt have been airlifted out, some taken to hospital in the iranian capital, tehran. but, overwhelmed by the sheer number of injured, the authorities are appealing for people to"
1006,5,"[43, 44, 45, 46, 47, 48, 49]","['00:03:30,620', '00:04:01,500']","[['/Sensitive Subjects', 0.7900000214576721]]","donate blood. and this is the moment this 7.3 magnitude quake hit in neighbouring iraq. a man runs for his life from the control room of this dam. boulders were tossed around like pebbles, and with cracks appearing in the structure, there are now concerns about the safety of the dam. translation: when the quake started, rocks from the mountains started, rocks from the mountains started falling on the street, and damaged cars. it even cause damage"
1006,6,"[50, 51, 52, 53, 54, 55, 56]","['00:04:01,500', '00:04:47,259']",[],"to the walls of the dam. a picture of widespread devastation is emerging. hundreds dead, thousands injured, many missing. turkey has sent a convoy of aid trucks, medication, 10th and blankets, and many have spent a second night outdoors, terrified by the after-shocks. so far there have been more than 190 of them -- tents. and we have more detail on that story on our website, and we will discuss it later in the programme. theresa may has launched her strongest attack yet on russia."
1006,7,"[57, 58, 59, 60, 61, 62]","['00:04:47,259', '00:05:23,489']","[['/Law & Government/Government', 0.5699999928474426]]","speaking at the lord mayor's banquet in london, the british prime minister said russia must choose a very different path from the one that had seen moscow annex crimea, foment conflict in ukraine, and launch cyber attacks on governments and parliaments across europe. russia has fomented conflict in the donbass, repeatedly violated the national airspace of several european countries, and mounted a sustained campaign of cyber espionage and disruption."
1006,8,"[63, 64, 65, 66, 67, 68, 69]","['00:05:23,490', '00:05:54,819']","[['/News/Politics', 0.7400000095367432]]","this has included meddling in elections, and hacking the danish ministry of defence and the bundestag, among many others. it is seeking to weaponise information, deploying its state-run media organisations to plant fake stories and photoshopped images, in an attempt to sow discord in the west and undermine our institutions. so i have a very simple message for russia. we know what you are doing, and you will not succeed."
1006,9,"[70, 71, 72, 73, 74, 75, 76, 77]","['00:05:54,819', '00:06:24,579']","[['/Reference', 0.6100000143051147], ['/People & Society', 0.5]]","because you underestimate the resilience of our democracies, the enduring attraction of free and open societies, and the commitment of western nations to the alliances that bind us. protesters have marched towards the presidential palace in manila, as leaders gathered for the second day of the asean summit. it is the final day of president trump's mammoth tour of asian countries. it began 11 days ago with him touching down in japan, and before the day is out, he will"
